"Tract","Population","MedAge","MedIncome","PerCapIncome","PovertyRate","Bachelors","Masters","Professional","Doctorate","Education25Plus","Hispanic","RaceTotal","Black","HousingUnits","MedHomePrice"
"Tract:1720.02",32434,32.5,108359,38286,3.7,3406,2438,208,497,21236,17108,32434,4849,11342,334600
"Tract:1215.01",10086,37.5,94844,42600,2.1,1580,686,0,28,6933,4759,10086,1702,3777,258600
"Tract:1513.01",5073,34.8,52849,23003,31,163,34,0,0,3275,4709,5073,2,1864,123200
"Tract:1704.01",4501,27.2,40162,15125,40.6,51,9,0,0,2427,3937,4501,449,1605,103100
"Tract:1217.01",4781,43.1,74183,46162,9.6,580,210,0,9,3471,2513,4781,274,1937,225100
"Tract:1218.03",4885,38.2,85428,31427,9.7,491,143,25,24,3418,2520,4885,589,1914,226600
"Tract:1316.06",9699,30.3,112434,39692,7.4,1538,579,45,62,5754,4321,9699,2554,3201,269500
"Tract:9800.02",0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA
"Tract:1201",7149,21.2,100662,27584,11.1,770,336,101,20,2397,1657,7149,1148,1173,NA
"Tract:1918.08",5959,31,111113,73298,5.6,1557,587,160,51,3961,1961,5959,640,2301,575100
"Tract:1918.16",3752,50.8,100577,71170,4.5,716,428,95,169,2913,1511,3752,226,1665,571700
"Tract:1219.09",9637,32,98056,39444,5.6,1496,662,16,151,6265,3415,9637,2574,3688,306500
"Tract:1918.11",5461,38.2,125567,51357,5.6,1154,586,142,234,3476,1926,5461,260,1868,513500
"Tract:1211.21",3113,42.7,124696,42439,9,594,251,88,71,2255,656,3113,106,1040,364900
"Tract:1217.02",6648,38.1,79428,41753,8.9,1003,708,88,76,4838,2070,6648,486,2759,339200
"Tract:1918.19",11740,35.8,134697,50823,12.9,3126,1172,484,123,7379,5123,11740,943,4037,451700
"Tract:1719.28",6436,37.1,131661,48208,6,1174,751,64,61,4401,4070,6436,692,1864,293600
"Tract:1205.03",3468,42.8,40625,28505,29.3,266,145,0,29,2732,1527,3468,518,1878,170200
"Tract:1918.18",6473,36.1,64665,47623,11,1713,348,100,122,4621,3485,6473,31,3084,460300
"Tract:1203.01",3320,40,99881,76083,1.3,867,407,220,20,2247,959,3320,51,1647,724800
"Tract:1716.01",3265,35.6,34659,17411,27.9,115,2,0,0,2035,2985,3265,101,1289,131000
"Tract:1811",5465,45.7,76270,46395,7.2,1458,471,167,152,4198,2993,5465,294,2703,382400
"Tract:1715.01",2238,38.6,38201,15762,28.1,99,44,0,0,1435,2047,2238,120,871,126700
"Tract:1513.02",3163,36.9,53021,23514,14.6,124,64,0,0,1954,2865,3163,0,1142,159200
"Tract:1216.04",10121,35.3,95821,36683,2.3,2006,550,0,22,6785,4083,10121,1419,3924,262200
"Tract:1318.02",11618,33.1,94953,39573,6.7,1867,663,29,0,7423,4502,11618,1682,4300,332200
"Tract:1306",3662,39.8,36517,22098,24.1,215,92,0,0,2764,2398,3662,688,1963,106700
"Tract:1212.05",3316,33.8,48600,35522,26.3,263,334,0,35,2328,1952,3316,538,1692,202500
"Tract:1205.04",5858,44,57765,30456,19.3,430,162,8,28,4650,3462,5858,413,2808,175500
"Tract:1211.23",5308,36.3,73571,40613,19.4,1260,405,99,29,3429,2857,5308,185,2512,366900
"Tract:1921",2453,43.4,105238,74950,6.6,520,314,210,68,2000,1346,2453,45,1776,486000
"Tract:1720.06",16108,31.2,116714,41768,10.3,2765,1364,20,30,9895,7317,16108,1245,5529,357500
"Tract:1522.02",6588,48,53072,28007,14.9,281,121,0,0,4842,4943,6588,53,2748,122100
"Tract:1605.02",3671,36.6,49523,17503,33.5,143,28,0,0,2432,3461,3671,61,1276,118100
"Tract:1915.04",2770,50.1,201875,112730,3,650,440,226,50,1859,1148,2770,28,1068,968200
"Tract:1315.05",5888,32.6,91954,38302,11.9,727,396,26,0,4028,2094,5888,2499,1904,220600
"Tract:1803",4654,36.3,45335,26012,26,337,246,3,5,2997,4172,4654,55,1561,179800
"Tract:1211.11",7000,34.4,84174,38715,10,1270,416,16,21,5170,4158,7000,520,2848,236800
"Tract:1701.02",2960,38.7,42368,18643,35.6,128,20,0,63,1933,2838,2960,2,1240,99600
"Tract:1817.27",5685,30.6,70341,26325,7.9,476,219,19,0,3708,4381,5685,327,2023,214800
"Tract:1817.31",6863,34.8,83607,36208,9.9,1233,487,95,0,4547,4701,6863,530,2433,234000
"Tract:1719.21",7092,29.8,74987,26894,18.2,409,184,1,11,4221,4693,7092,507,2066,202000
"Tract:1915.05",2100,54,134500,87826,3.1,561,267,262,64,1648,943,2100,0,885,584500
"Tract:1101",3606,34.6,52109,45716,12.1,947,398,71,96,2866,1755,3606,234,3561,611800
"Tract:1409",1772,40.8,43297,21707,10.8,42,0,0,0,1296,1404,1772,24,802,119700
"Tract:1211.10",5363,35.3,68210,47537,5,892,397,41,41,3558,2781,5363,224,2316,259200
"Tract:1315.07",5589,31.4,49306,21180,18.1,348,62,12,12,3460,3697,5589,1258,1950,161100
"Tract:1821.01",17691,37,160801,68745,2.7,4822,1821,476,190,11117,4850,17691,387,6120,459100
"Tract:1918.06",8457,39.7,195745,76984,2.5,1922,1409,503,201,5442,2060,8457,261,3254,622200
"Tract:1818.11",3733,40.8,84093,47061,5.4,656,336,110,110,2760,1895,3733,180,1675,277700
"Tract:1212.03",4425,39.1,58365,29408,17.1,292,149,19,0,3076,2681,4425,362,1935,161900
"Tract:1206.02",4098,32.5,81034,58449,6.4,652,673,194,86,2572,865,4098,10,2205,373800
"Tract:1519",9701,33.2,83629,29141,14,649,441,80,28,5678,8100,9701,163,3455,246500
"Tract:1918.07",10817,34.1,81268,73892,5.9,3265,1054,322,291,8234,4483,10817,353,6597,670400
"Tract:1318.01",3433,38.1,106645,49970,4.3,572,290,34,16,2390,933,3433,58,1285,284900
"Tract:1914.06",7002,44,129086,73607,2.5,1843,788,246,218,4977,2660,7002,174,2885,491700
"Tract:1918.15",4762,38.4,117650,57917,8.4,1098,530,194,96,3000,2000,4762,322,1812,436600
"Tract:1821.05",15669,33.6,125721,42925,2.7,3435,1248,68,329,9548,7751,15669,1643,5443,403500
"Tract:1714.02",5997,32.7,46604,18670,23.2,134,11,0,0,3512,5528,5997,65,1816,134100
"Tract:1402",1969,38.5,46250,31441,24.6,224,130,0,8,1346,1489,1969,120,1045,256600
"Tract:1719.20",7853,31.9,76120,30568,7.5,647,350,6,0,5059,5727,7853,1219,2526,180100
"Tract:1701.01",3543,37.2,41955,17682,36.3,63,54,33,0,2432,3510,3543,15,1245,98800
"Tract:1914.10",6338,28.7,48234,34187,24.2,576,293,159,210,3807,4219,6338,356,3689,240500
"Tract:1401",1507,36.2,67731,28522,8.9,121,40,0,14,1163,1218,1507,13,590,242500
"Tract:1211.18",5649,38.1,75667,47874,8.4,1212,505,118,71,4064,2446,5649,100,2525,365200
"Tract:1818.20",9990,20.4,57061,20857,40.4,869,305,99,152,2637,4731,9990,1219,2641,405600
"Tract:1211.20",4954,38.5,80806,34322,4.9,884,207,107,76,3445,2569,4954,402,1976,256600
"Tract:1219.08",3132,44.7,146685,57949,4.6,714,518,57,35,2209,816,3132,0,1081,453000
"Tract:1817.25",5714,35.5,53516,30042,16.3,398,155,0,55,3960,3819,5714,666,2825,260400
"Tract:1814.04",5631,29.7,66821,35737,17.6,1201,703,117,42,3883,2577,5631,581,3484,219800
"Tract:1419",5713,38.9,75332,31145,15.1,521,53,0,75,3477,3150,5713,241,1992,259000
"Tract:1801.01",5054,47.4,66652,33210,17.9,490,376,91,103,3883,3668,5054,1,1975,257700
"Tract:1817.20",5341,39.6,125225,40659,2,776,591,42,89,3673,2431,5341,81,1621,325500
"Tract:1219.06",8863,33.8,99990,48470,3.9,2050,743,177,129,6227,3649,8863,472,3538,366300
"Tract:1414.02",5995,37,85778,32276,6.2,671,237,16,50,3753,4285,5995,242,2081,237400
"Tract:1820.03",4879,44.5,133795,64410,1.6,967,622,262,173,3389,1360,4879,166,1985,463900
"Tract:1417",8807,29.4,80457,30522,19,655,314,15,26,5028,5443,8807,943,2687,243900
"Tract:1616",4984,38.3,36299,18830,30.2,114,49,0,0,3195,4550,4984,42,1772,138900
"Tract:1219.11",8308,35,159271,57673,2.7,1470,1075,107,117,5129,2780,8308,321,2697,443700
"Tract:1204.02",2880,44.6,250001,145019,1,855,369,294,76,1878,453,2880,0,1081,1087100
"Tract:1818.08",1941,36.9,79050,49018,16.6,330,362,95,30,1497,901,1941,79,980,395000
"Tract:1218.08",3087,37.1,81845,42651,17.1,400,243,81,0,2215,1512,3087,101,1158,256400
"Tract:1818.26",6952,32.3,104318,37300,10.7,1273,709,12,151,4238,3734,6952,224,2400,277100
